created_time,message
11/1/2021 12:58,Fruck hom
11/1/2021 12:02,A Clown ??
11/1/2021 11:27,Foxtrot yankee
11/1/2021 11:51,
11/1/2021 11:25,Not everyone 
11/1/2021 11:21,Shut up Joe
,
,
11/1/2021 11:12,He can kiss my ass
11/1/2021 11:11,I don't think so
11/1/2021 11:03,FUCK YOU??
11/1/2021 11:00,No
11/1/2021 10:40,??
11/1/2021 10:34,????????????????BIDEN!!!!
11/1/2021 10:28,Nope
11/1/2021 10:26,Up yours Biden you ain’t my president 
11/1/2021 10:23,Not doing it! 
11/1/2021 10:20,????????
11/1/2021 10:16,Good luck with that
11/1/2021 10:15,He can kiss my ass
11/1/2021 10:14,"F off Biden,your nobody in my book.??"
11/1/2021 10:14,I think he’s a fucking nut
11/1/2021 10:12,He's nuts.
11/1/2021 10:11,He's  getting rich off this for sure
11/1/2021 10:10,He can f****** self
11/1/2021 10:10,Screw your mask asshole
11/1/2021 10:09,"Good luck with that, idiot!!!"
11/1/2021 10:07,Don't hurt yourself Joe
11/1/2021 10:04,Duh ?
11/1/2021 10:00,"Ummm, no."
11/1/2021 9:58,????????
11/1/2021 9:57,Maskhole
11/1/2021 9:57,Go fuck yourself POS !!!
,
,
11/1/2021 9:56,Fuck Joe Obiden!
11/1/2021 9:56,????
11/1/2021 9:55,Stop Biden Harris NOW
11/1/2021 9:53,Kiss my ass your not my president Trump 2021
11/1/2021 9:53,"Whatever, try to enforce that bullshit"
11/1/2021 9:53,He's nuts
11/1/2021 9:52,Lol thought it aready was
11/1/2021 9:46,NMP F#ck Him and That Mask!
11/1/2021 9:44,mandate this ??
11/1/2021 9:44,Dictatorship 101.
11/1/2021 9:43,Um fuck off
11/1/2021 9:42,US NOT YOUR CHINA MORON
11/1/2021 9:42,??
11/1/2021 9:39,Thank you President Biden ??
11/1/2021 9:38,He can f*ck right off.
11/1/2021 9:35,??????
11/1/2021 9:34,No!!!!!!!????????????
11/1/2021 9:34,????????not my president
11/1/2021 9:33,Well said my friend well said indeed!!
11/1/2021 9:33,Pos 
11/1/2021 9:33,Fuck this guy and mark zuck
11/1/2021 9:31,Joe Biden can go fuck himself.
11/1/2021 9:31,??
11/1/2021 9:31,He’s ??????
11/1/2021 9:30,Fuck Joe Biden and anyone who voted for him.
,
,
11/1/2021 9:30,Biden will never be president 
11/1/2021 9:30,????
11/1/2021 9:30,
11/1/2021 9:28,Stupid as usual!
11/1/2021 9:28,Fo
11/1/2021 9:27,Go zto Hell creepy joe
11/1/2021 9:25,He’s a complete joke. 
11/1/2021 9:24,NOT!!!!
11/1/2021 9:24,He look like mask
11/1/2021 9:23,Not doing it
11/1/2021 9:23,might save your life
11/1/2021 9:23,Hey joey  Don't consider it done.. 
11/1/2021 9:22,Take your mask nazis and fuck off. TRAITOR. STAND AGAINST THIS OPPRESSION OF RIGHTS.
11/1/2021 9:22,??
11/1/2021 9:22,He can kiss my hairy ass
11/1/2021 9:21,I am behind you
11/1/2021 9:19,
11/1/2021 9:19,
11/1/2021 9:18,Fuck him
11/1/2021 9:18,Nope!  
11/1/2021 9:16,
11/1/2021 9:15,
11/1/2021 9:15,"Suck a nut, Chump!"
11/1/2021 9:15,Good luck!
11/1/2021 9:14,Fuck you. 
,
,
11/1/2021 9:14,
11/1/2021 9:14,????
11/1/2021 9:12,Sure sure you incompetent buffoon??????
11/1/2021 9:12,Fuck you Biden you are a moron . Your sins will come out soon
11/1/2021 9:11,He can kiss my ass I ain’t doing shit 
11/1/2021 9:11,
11/1/2021 9:10,
11/1/2021 9:10,He's a fucking idiot
11/1/2021 9:10,#NotMyBigGuy
11/1/2021 9:10,He’s a moron
11/1/2021 9:10,Not my president
11/1/2021 9:09,Keep dreaming
11/1/2021 9:09,No 
11/1/2021 9:09,Your a fraud just like the election
11/1/2021 9:08,Fuck Him #notmypresident
11/1/2021 9:08,Fuck him
11/1/2021 9:08,??
11/1/2021 9:08,Try it.
11/1/2021 9:08,he can eat a dick as well
11/1/2021 9:08,No
11/1/2021 9:08,Dipshit
11/1/2021 9:07,We need it
11/1/2021 9:07,Fucking idiot's
11/1/2021 9:07,What a bafoon!
11/1/2021 9:07,screw this loser pos..who the hell would listen to him!!!
,
,
11/1/2021 9:07,
11/1/2021 9:07,Fascist
11/1/2021 9:07,He is full of shit!
11/1/2021 9:06,Pos
11/1/2021 9:06,I agree
11/1/2021 9:06,????????????????biden
11/1/2021 9:50,He’s not my president and I don’t give a fuck what he says
,
,
11/1/2021 9:05,What do you think about this?
11/1/2021 10:32,But once the mandate on the shot takes place we shouldn't have anything to worry about and  Joe said he is going to cure all problems he said covid-19  will be finished when he is elected president? So why would he mandate a mask?
11/1/2021 9:31,He can go fuck himself...i have my rights...but I choose to wear one because of my job and my family...not doe him! Never!
11/1/2021 9:08,Oh well...I'm not being ordered to do anything!!
12/1/2021 7:43,Don’t forget to pok a hole in the mouth area when designing a new mask to insert a straw so food can suck in... restaurant will have new menu called protein meat smoothies
