created_time,message
11/01/2021 09:10,Fuck that!! Pedo Joe and Spread my legs Harris can take that mask mandate and shove it up there a$$
11/01/2021 09:10,#NotMyBigGuy
11/01/2021 09:09,Your a fraud just like the election
11/01/2021 09:09,"This will be the only only thing that this clown will accomplish in four years, that won't affect america's pocketbooks."
11/01/2021 09:09,No 
11/01/2021 09:09,No 
11/01/2021 09:09,Nancy don’t wear hers when she is getting her hair done 
11/01/2021 09:09,Keep dreaming
11/01/2021 09:09,I'm exicutin my 4th amendment rights to not look like a bafoon
11/01/2021 09:09,I think we should pick a high bridge in one of our 50 states and push Biden off
11/01/2021 09:09,"Fauci wants to stay on the gravey train, 2 faced    con man"
11/01/2021 09:09,"F him, and everything he stands for. #joebidennotmypresident"
11/01/2021 09:09,"F him, and everything he stands for. #joebidennotmypresident"
11/01/2021 09:08,We've been doing this for 10 months now can you come up with something else maybe
11/01/2021 09:08,Try it.
11/01/2021 09:08,Oh well...I'm not being ordered to do anything!!
11/01/2021 09:08,Not happening jack 
11/01/2021 09:08,No
11/01/2021 09:08,No
